day,month,year,hour,minute,second,intensity,reactive,voltage,abnormal
16,12,2006,17,24,0,18.4,0.418,234.84,1
16,12,2006,17,25,0,23,0.436,233.63,1
16,12,2006,17,26,0,23,0.498,233.29,1
16,12,2006,17,27,0,23,0.502,233.74,1
16,12,2006,17,28,0,15.8,0.528,235.68,0
16,12,2006,17,29,0,15,0.522,235.02,0
16,12,2006,17,30,0,15.8,0.52,235.09,0
16,12,2006,17,31,0,15.8,0.52,235.22,0
16,12,2006,17,32,0,15.8,0.51,233.99,0
16,12,2006,17,33,0,15.8,0.51,233.86,0
16,12,2006,17,34,0,19.6,0.498,232.86,1
16,12,2006,17,35,0,23.2,0.47,232.78,1
16,12,2006,17,36,0,22.4,0.478,232.99,1
16,12,2006,17,37,0,22.6,0.398,232.91,1
16,12,2006,17,38,0,17.6,0.422,235.24,1
16,12,2006,17,39,0,14.2,0.282,237.14,0
16,12,2006,17,40,0,13.8,0.152,236.73,0
16,12,2006,17,41,0,14.4,0.156,237.06,0
16,12,2006,17,42,0,13.8,0,237.13,0
16,12,2006,17,43,0,16.4,0,235.84,1
16,12,2006,17,44,0,25.4,0,232.69,1
16,12,2006,17,45,0,33.2,0,230.98,1
16,12,2006,17,46,0,30.6,0,232.21,1
16,12,2006,17,47,0,22,0,234.19,1
16,12,2006,17,48,0,19.4,0,234.96,1
16,12,2006,17,49,0,13.6,0,236.66,0
16,12,2006,17,50,0,13.6,0,235.84,0
16,12,2006,17,51,0,13.6,0,235.6,0
16,12,2006,17,52,0,13.8,0,235.49,0
16,12,2006,17,53,0,13.4,0,235.28,0
16,12,2006,17,54,0,11.6,0,235.06,0
16,12,2006,17,55,0,16.4,0.076,234.17,1
16,12,2006,17,56,0,18.4,0.09,233.77,1
16,12,2006,17,57,0,19.2,0,233.62,1
16,12,2006,17,58,0,17.6,0.2,234.68,1
16,12,2006,17,59,0,10.4,0.058,236.94,0
16,12,2006,18,0,0,11.8,0.18,237.52,0
16,12,2006,18,1,0,11,0.144,238.2,0
16,12,2006,18,2,0,11.6,0.118,238.28,0
16,12,2006,18,3,0,16.4,0.108,236.93,1
16,12,2006,18,4,0,21,0.202,235.01,1
16,12,2006,18,5,0,26.2,0.192,232.93,1
16,12,2006,18,6,0,29,0.186,232.12,1
16,12,2006,18,7,0,27.8,0.144,231.85,1
16,12,2006,18,8,0,27,0.116,232.25,1
16,12,2006,18,9,0,19,0.136,234.66,1
16,12,2006,18,10,0,15,0.148,236.2,0
16,12,2006,18,11,0,13.8,0.152,237.07,0
16,12,2006,18,12,0,16.4,0.144,235.78,1
16,12,2006,18,13,0,9.6,0.16,237.43,0
16,12,2006,18,14,0,10,0.158,237.26,0
16,12,2006,18,15,0,21.4,0.1,234.25,1
16,12,2006,18,16,0,19.6,0.076,234.2,1
16,12,2006,18,17,0,17.8,0.082,234.31,1
16,12,2006,18,18,0,19.2,0,233.29,1
16,12,2006,18,19,0,12,0,235.61,0
16,12,2006,18,20,0,12.4,0,235.25,0
16,12,2006,18,21,0,12.4,0,236.04,0
16,12,2006,18,22,0,12.4,0,235.51,0
16,12,2006,18,23,0,12.4,0,235.68,0
16,12,2006,18,24,0,15.2,0,235.2,0
16,12,2006,18,25,0,20.8,0,233.74,1
16,12,2006,18,26,0,20.8,0,233.84,1
16,12,2006,18,27,0,20.8,0,233.79,1
16,12,2006,18,28,0,13.8,0,235.5,0
16,12,2006,18,29,0,12.4,0,235.84,0
16,12,2006,18,30,0,12.4,0,236.15,0
16,12,2006,18,31,0,12.4,0.05,235.81,0
16,12,2006,18,32,0,11,0.052,235.41,0
16,12,2006,18,33,0,11.6,0.162,234.82,0
16,12,2006,18,34,0,15.6,0.086,233.76,0
16,12,2006,18,35,0,26.4,0,232.48,1
16,12,2006,18,36,0,19.4,0,233.54,1
16,12,2006,18,37,0,18.8,0,232.32,1
16,12,2006,18,38,0,13,0.048,234.02,0
16,12,2006,18,39,0,9.8,0.054,234.76,0
16,12,2006,18,40,0,9.6,0.054,234.67,0
16,12,2006,18,41,0,9.6,0.054,235.27,0
16,12,2006,18,42,0,9.6,0.054,235.12,0
16,12,2006,18,43,0,9.2,0.068,235.8,0
16,12,2006,18,44,0,13.2,0.166,234.81,0
16,12,2006,18,45,0,17.8,0.174,234.38,1
16,12,2006,18,46,0,17.8,0.186,234.2,1
16,12,2006,18,47,0,18,0.178,233.98,1
16,12,2006,18,48,0,12,0.188,234.99,0
16,12,2006,18,49,0,10.8,0.088,234.67,0
16,12,2006,18,50,0,10.6,0.08,233.92,0
16,12,2006,18,51,0,1,0.07,233.51,0
16,12,2006,18,52,0,9.8,0,233.44,0
16,12,2006,18,53,0,10.6,0,233.64,0
16,12,2006,18,54,0,18.4,0,232.39,1
16,12,2006,18,55,0,18.2,0.09,232.25,1
16,12,2006,18,56,0,18.2,0.09,232.32,1
16,12,2006,18,57,0,17,0.084,232.79,1
16,12,2006,18,58,0,18,0.09,232.09,1
16,12,2006,18,59,0,18.2,0.09,231.96,1
16,12,2006,19,0,0,17.4,0.088,231.99,1
16,12,2006,19,1,0,15.6,0.09,232.36,0
16,12,2006,19,2,0,14.8,0.09,232.71,0
16,12,2006,19,3,0,14.8,0.09,232.01,0
16,12,2006,19,4,0,14.4,0,232.78,0
16,12,2006,19,5,0,14.6,0.082,233.08,0
16,12,2006,19,6,0,14.4,0.074,233.69,0
16,12,2006,19,7,0,15.4,0.106,234.44,0
16,12,2006,19,8,0,14.8,0.092,234.6,0
16,12,2006,19,9,0,14.4,0.064,235.12,0
16,12,2006,19,11,0,14.4,0,234.19,0
16,12,2006,19,12,0,14.6,0,234.69,0
16,12,2006,19,13,0,14.6,0,234.26,0
16,12,2006,19,14,0,14.4,0,233.3,0
16,12,2006,19,15,0,14.4,0,233.43,0
